torque_demand_nm,soc,engine_torque_nm,motor_torque_nm
-150.0000,0.0500,0.000000,-150.000000
-150.0000,0.1000,0.000000,-150.000000
-150.0000,0.1500,0.000000,-150.000000
-150.0000,0.2000,0.000000,-150.000000
-150.0000,0.2500,0.000000,-150.000000
-150.0000,0.3000,0.000000,-150.000000
-150.0000,0.4000,0.000000,-150.000000
-150.0000,0.6000,0.000000,-150.000000
-150.0000,0.8000,0.000000,-150.000000
-50.0000,0.0500,0.000000,-50.000000
-50.0000,0.1000,0.000000,-50.000000
-50.0000,0.1500,0.000000,-50.000000
-50.0000,0.2000,0.000000,-50.000000
-50.0000,0.2500,0.000000,-50.000000
-50.0000,0.3000,0.000000,-50.000000
-50.0000,0.4000,0.000000,-50.000000
-50.0000,0.6000,0.000000,-50.000000
-50.0000,0.8000,0.000000,-50.000000
0.0000,0.0500,0.000000,0.000000
0.0000,0.1000,0.000000,0.000000
0.0000,0.1500,0.000000,0.000000
0.0000,0.2000,0.000000,0.000000
0.0000,0.2500,0.000000,0.000000
0.0000,0.3000,0.000000,0.000000
0.0000,0.4000,0.000000,0.000000
0.0000,0.6000,0.000000,0.000000
0.0000,0.8000,0.000000,0.000000
50.0000,0.0500,40.000000,10.000000
50.0000,0.1000,40.000000,10.000000
50.0000,0.1500,40.000000,10.000000
50.0000,0.2000,26.666667,23.333333
50.0000,0.2500,13.333333,36.666667
50.0000,0.3000,0.000000,50.000000
50.0000,0.4000,0.000000,50.000000
50.0000,0.6000,0.000000,50.000000
50.0000,0.8000,0.000000,50.000000
100.0000,0.0500,80.000000,20.000000
100.0000,0.1000,80.000000,20.000000
100.0000,0.1500,80.000000,20.000000
100.0000,0.2000,53.333333,46.666667
100.0000,0.2500,26.666667,73.333333
100.0000,0.3000,0.000000,100.000000
100.0000,0.4000,0.000000,100.000000
100.0000,0.6000,0.000000,100.000000
100.0000,0.8000,0.000000,100.000000
200.0000,0.0500,160.000000,40.000000
200.0000,0.1000,160.000000,40.000000
200.0000,0.1500,160.000000,40.000000
200.0000,0.2000,106.666667,93.333333
200.0000,0.2500,53.333333,146.666667
200.0000,0.3000,0.000000,200.000000
200.0000,0.4000,0.000000,200.000000
200.0000,0.6000,0.000000,200.000000
200.0000,0.8000,0.000000,200.000000
300.0000,0.0500,240.000000,60.000000
300.0000,0.1000,240.000000,60.000000
300.0000,0.1500,240.000000,60.000000
300.0000,0.2000,160.000000,140.000000
300.0000,0.2500,80.000000,220.000000
300.0000,0.3000,0.000000,300.000000
300.0000,0.4000,0.000000,300.000000
300.0000,0.6000,0.000000,300.000000
300.0000,0.8000,0.000000,300.000000
