time_s,speed_mph,speed_mps
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,0.0,0.0
10,0.0,0.0
11,0.0,0.0
12,0.0,0.0
13,0.0,0.0
14,0.0,0.0
15,0.0,0.0
16,0.0,0.0
17,0.0,0.0
18,0.0,0.0
19,0.0,0.0
20,0.0,0.0
21,3.0,1.3411
22,5.9,2.6375
23,8.6,3.8445
24,11.5,5.141
25,14.3,6.3927
26,16.9,7.555
27,17.3,7.7338
28,18.1,8.0914
29,20.7,9.2537
30,21.7,9.7008
31,22.4,10.0137
32,22.5,10.0584
33,22.1,9.8796
34,21.5,9.6114
35,20.9,9.3431
36,20.4,9.1196
37,19.8,8.8514
38,17.0,7.5997
39,14.9,6.6609
40,14.9,6.6609
41,15.2,6.795
42,15.5,6.9291
43,16.0,7.1526
44,17.1,7.6444
45,19.1,8.5385
46,21.1,9.4325
47,22.7,10.1478
48,22.9,10.2372
49,22.7,10.1478
50,22.6,10.1031
51,21.3,9.522
52,19.0,8.4938
53,17.1,7.6444
54,15.8,7.0632
55,15.8,7.0632
56,17.7,7.9126
57,19.8,8.8514
58,21.6,9.6561
59,23.2,10.3713
60,24.2,10.8184
61,24.6,10.9972
62,24.9,11.1313
63,25.0,11.176
64,24.6,10.9972
65,24.5,10.9525
66,24.7,11.0419
67,24.8,11.0866
68,24.7,11.0419
69,24.6,10.9972
70,24.6,10.9972
71,25.1,11.2207
72,25.6,11.4442
73,25.7,11.4889
74,25.4,11.3548
75,24.9,11.1313
76,25.0,11.176
77,25.4,11.3548
78,26.0,11.623
79,26.0,11.623
80,25.7,11.4889
81,26.1,11.6677
82,26.7,11.936
83,27.5,12.2936
84,28.6,12.7853
85,29.3,13.0983
86,29.8,13.3218
87,30.1,13.4559
88,30.4,13.59
89,30.7,13.7241
90,30.7,13.7241
91,30.5,13.6347
92,30.4,13.59
93,30.3,13.5453
94,30.4,13.59
95,30.8,13.7688
96,30.4,13.59
97,29.9,13.3665
98,29.5,13.1877
99,29.8,13.3218
100,30.3,13.5453
101,30.7,13.7241
102,30.9,13.8135
103,31.0,13.8582
104,30.9,13.8135
105,30.4,13.59
106,29.8,13.3218
107,29.9,13.3665
108,30.2,13.5006
109,30.7,13.7241
110,31.2,13.9476
111,31.8,14.2159
112,32.2,14.3947
113,32.4,14.4841
114,32.2,14.3947
115,31.7,14.1712
116,28.6,12.7853
117,25.3,11.3101
118,22.0,9.8349
119,18.7,8.3596
120,15.4,6.8844
121,12.1,5.4092
122,8.8,3.934
123,5.5,2.4587
124,2.2,0.9835
125,0.0,0.0
126,0.0,0.0
127,0.0,0.0
128,0.0,0.0
129,0.0,0.0
130,0.0,0.0
131,0.0,0.0
132,0.0,0.0
133,0.0,0.0
134,0.0,0.0
135,0.0,0.0
136,0.0,0.0
137,0.0,0.0
138,0.0,0.0
139,0.0,0.0
140,0.0,0.0
141,0.0,0.0
142,0.0,0.0
143,0.0,0.0
144,0.0,0.0
145,0.0,0.0
146,0.0,0.0
147,0.0,0.0
148,0.0,0.0
149,0.0,0.0
150,0.0,0.0
151,0.0,0.0
152,0.0,0.0
153,0.0,0.0
154,0.0,0.0
155,0.0,0.0
156,0.0,0.0
157,0.0,0.0
158,0.0,0.0
159,0.0,0.0
160,0.0,0.0
161,0.0,0.0
162,0.0,0.0
163,0.0,0.0
164,3.3,1.4752
165,6.6,2.9505
166,9.9,4.4257
167,13.2,5.9009
168,16.5,7.3762
169,19.8,8.8514
170,22.2,9.9243
171,24.3,10.8631
172,25.8,11.5336
173,26.4,11.8019
174,25.7,11.4889
175,25.1,11.2207
176,24.7,11.0419
177,25.0,11.176
178,25.2,11.2654
179,25.4,11.3548
180,25.8,11.5336
181,27.2,12.1595
182,26.5,11.8466
183,24.0,10.729
184,22.7,10.1478
185,19.4,8.6726
186,17.7,7.9126
187,17.2,7.6891
188,18.1,8.0914
189,18.6,8.3149
190,20.0,8.9408
191,22.2,9.9243
192,24.5,10.9525
193,27.3,12.2042
194,30.5,13.6347
195,33.5,14.9758
196,36.2,16.1828
197,37.3,16.6746
198,39.3,17.5687
199,40.5,18.1051
200,42.1,18.8204
201,43.5,19.4462
202,45.1,20.1615
203,46.0,20.5638
204,46.8,20.9215
205,47.5,21.2344
206,47.5,21.2344
207,47.3,21.145
208,47.2,21.1003
209,47.0,21.0109
210,47.0,21.0109
211,47.0,21.0109
212,47.0,21.0109
213,47.0,21.0109
214,47.2,21.1003
215,47.4,21.1897
216,47.9,21.4132
217,48.5,21.6814
218,49.1,21.9497
219,49.5,22.1285
220,50.0,22.352
221,50.6,22.6202
222,51.0,22.799
223,51.5,23.0226
224,52.2,23.3355
225,53.2,23.7825
226,54.1,24.1849
227,54.6,24.4084
228,54.9,24.5425
229,55.0,24.5872
230,54.9,24.5425
231,54.6,24.4084
232,54.6,24.4084
233,54.8,24.4978
234,55.1,24.6319
235,55.5,24.8107
236,55.7,24.9001
237,56.1,25.0789
238,56.3,25.1684
239,56.6,25.3025
240,56.7,25.3472
241,56.7,25.3472
242,56.5,25.2578
243,56.5,25.2578
244,56.5,25.2578
245,56.5,25.2578
246,56.5,25.2578
247,56.5,25.2578
248,56.4,25.2131
249,56.1,25.0789
250,55.8,24.9448
251,55.1,24.6319
252,54.6,24.4084
253,54.2,24.2296
254,54.0,24.1402
255,53.7,24.006
256,53.6,23.9613
257,53.9,24.0955
258,54.0,24.1402
259,54.1,24.1849
260,54.1,24.1849
261,53.8,24.0508
262,53.4,23.8719
263,53.0,23.6931
264,52.6,23.5143
265,52.1,23.2908
266,52.4,23.4249
267,52.0,23.2461
268,51.9,23.2014
269,51.7,23.112
270,51.5,23.0226
271,51.6,23.0673
272,51.8,23.1567
273,52.1,23.2908
274,52.5,23.4696
275,53.0,23.6931
276,53.5,23.9166
277,54.0,24.1402
278,54.9,24.5425
279,55.4,24.766
280,55.6,24.8554
281,56.0,25.0342
282,56.0,25.0342
283,55.8,24.9448
284,55.2,24.6766
285,54.5,24.3637
286,53.6,23.9613
287,52.5,23.4696
288,51.5,23.0226
289,51.5,23.0226
290,51.5,23.0226
291,51.1,22.8437
292,50.1,22.3967
293,50.0,22.352
294,50.1,22.3967
295,50.0,22.352
296,49.6,22.1732
297,49.5,22.1285
298,49.5,22.1285
299,49.5,22.1285
300,49.1,21.9497
301,48.6,21.7261
302,48.1,21.5026
303,47.2,21.1003
304,46.1,20.6085
305,45.0,20.1168
306,43.8,19.5804
307,42.6,19.0439
308,41.5,18.5522
309,40.3,18.0157
310,38.5,17.211
311,37.0,16.5405
312,35.2,15.7358
313,33.8,15.11
314,32.5,14.5288
315,31.5,14.0818
316,30.6,13.6794
317,30.5,13.6347
318,30.0,13.4112
319,29.0,12.9642
320,27.5,12.2936
321,24.8,11.0866
322,21.5,9.6114
323,20.1,8.9855
324,19.1,8.5385
325,18.5,8.2702
326,17.0,7.5997
327,15.5,6.9291
328,12.5,5.588
329,10.8,4.828
330,8.0,3.5763
331,4.7,2.1011
332,1.4,0.6259
333,0.0,0.0
334,0.0,0.0
335,0.0,0.0
336,0.0,0.0
337,0.0,0.0
338,0.0,0.0
339,0.0,0.0
340,0.0,0.0
341,0.0,0.0
342,0.0,0.0
343,0.0,0.0
344,0.0,0.0
345,0.0,0.0
346,0.0,0.0
347,1.0,0.447
348,4.3,1.9223
349,7.6,3.3975
350,10.9,4.8727
351,14.2,6.348
352,17.3,7.7338
353,20.0,8.9408
354,22.5,10.0584
355,23.7,10.5948
356,25.2,11.2654
357,26.6,11.8913
358,28.1,12.5618
359,30.0,13.4112
360,30.8,13.7688
361,31.6,14.1265
362,32.1,14.35
363,32.8,14.6629
364,33.6,15.0205
365,34.5,15.4229
366,34.6,15.4676
367,34.9,15.6017
368,34.8,15.557
369,34.5,15.4229
370,34.7,15.5123
371,35.5,15.8699
372,36.0,16.0934
373,36.0,16.0934
374,36.0,16.0934
375,36.0,16.0934
376,36.0,16.0934
377,36.0,16.0934
378,36.1,16.1381
379,36.4,16.2723
380,36.5,16.317
381,36.4,16.2723
382,36.0,16.0934
383,35.1,15.6911
384,34.1,15.2441
385,33.5,14.9758
386,31.4,14.0371
387,29.0,12.9642
388,25.7,11.4889
389,23.0,10.2819
390,20.3,9.0749
391,17.5,7.8232
392,14.5,6.4821
393,12.0,5.3645
394,8.7,3.8892
395,5.4,2.414
396,2.1,0.9388
